Run,Threads,Time (seconds)
1,1,0.0184152
2,1,0.0191771
3,1,0.0182638
4,1,0.0180285
5,1,0.0186811
6,1,0.0189513
7,1,0.0183727
8,1,0.0189359
9,1,0.0183638
10,1,0.0187866
1,2,0.018655
2,2,0.0183294
3,2,0.0195357
4,2,0.018477
5,2,0.0186316
6,2,0.0189594
7,2,0.0183971
8,2,0.0189597
9,2,0.0184291
10,2,0.0206887
1,4,0.0148644
2,4,0.0142603
3,4,0.0145701
4,4,0.0143852
5,4,0.0145958
6,4,0.0145783
7,4,0.0146438
8,4,0.0158877
9,4,0.0144673
10,4,0.014473
1,8,0.0119952
2,8,0.0116951
3,8,0.0118268
4,8,0.011978
5,8,0.0116898
6,8,0.0118283
7,8,0.0118967
8,8,0.0117948
9,8,0.0117704
10,8,0.0119102
1,16,0.0125213
2,16,0.0125568
3,16,0.0118506
4,16,0.0121757
5,16,0.0122222
6,16,0.0122743
7,16,0.0119111
8,16,0.0129517
9,16,0.0121424
10,16,0.0116636
